,model,test mse,test std,epochs,lr,n_nodes_per_layer,n_factors,batch_size,dropout_prob
0,0,0.9442922660531207,0.679989218711853,25,0.1,"[128, 64, 32, 16, 8, 4, 2]",5,256,0.2
1,1,0.8757583520608548,0.5353218913078308,25,0.01,"[128, 64, 32, 16, 8, 4, 2]",5,256,0.2
2,2,1.1191423081703054,0.4018997550010681,25,0.001,"[128, 64, 32, 16, 8, 4, 2]",5,256,0.2
3,3,8.918118740210065,1.7881393432617188e-07,25,0.0001,"[128, 64, 32, 16, 8, 4, 2]",5,256,0.2
4,4,6.532235892773818,0.9216047525405884,25,1e-05,"[128, 64, 32, 16, 8, 4, 2]",5,256,0.2
5,5,15.55793558708549,0.2594451904296875,25,1e-06,"[128, 64, 32, 16, 8, 4, 2]",5,256,0.2
6,6,0.9711682391040612,0.5759010910987854,25,0.1,"[128, 64, 32, 16, 8, 4, 2]",25,256,0.2
7,7,0.9170832892777584,0.7265934944152832,25,0.01,"[128, 64, 32, 16, 8, 4, 2]",25,256,0.2
8,8,0.9684265205873295,0.4799584448337555,25,0.001,"[128, 64, 32, 16, 8, 4, 2]",25,256,0.2
9,9,8.960056540391518,5.960464477539063e-08,25,0.0001,"[128, 64, 32, 16, 8, 4, 2]",25,256,0.2
10,10,13.273724314905028,0.1313990354537964,25,1e-05,"[128, 64, 32, 16, 8, 4, 2]",25,256,0.2
11,11,11.600104761413627,0.27843019366264343,25,1e-06,"[128, 64, 32, 16, 8, 4, 2]",25,256,0.2
12,12,0.9116665367146616,0.6151630878448486,25,0.1,"[128, 64, 32, 16, 8, 4, 2]",50,256,0.2
13,13,0.9360895468956465,0.7334557175636292,25,0.01,"[128, 64, 32, 16, 8, 4, 2]",50,256,0.2
14,14,0.9162038084520403,0.6111147403717041,25,0.001,"[128, 64, 32, 16, 8, 4, 2]",50,256,0.2
15,15,1.3431956572644077,0.9679903388023376,25,0.0001,"[128, 64, 32, 16, 8, 4, 2]",50,256,0.2
16,16,13.168487360110007,0.0072174989618361,25,1e-05,"[128, 64, 32, 16, 8, 4, 2]",50,256,0.2
17,17,11.718839625123113,0.3213571608066559,25,1e-06,"[128, 64, 32, 16, 8, 4, 2]",50,256,0.2
18,18,0.913459945586581,0.710322916507721,25,0.1,"[128, 64, 32, 16, 8, 4, 2]",100,256,0.2
19,19,1.6472771081883872,0.57697993516922,25,0.01,"[128, 64, 32, 16, 8, 4, 2]",100,256,0.2
20,20,0.9651448312845636,0.5412759184837341,25,0.001,"[128, 64, 32, 16, 8, 4, 2]",100,256,0.2
21,21,1.0616114274096646,0.6849961876869202,25,0.0001,"[128, 64, 32, 16, 8, 4, 2]",100,256,0.2
22,22,13.667183594446604,0.1325627714395523,25,1e-05,"[128, 64, 32, 16, 8, 4, 2]",100,256,0.2
23,23,25.61799461509273,0.5726475119590759,25,1e-06,"[128, 64, 32, 16, 8, 4, 2]",100,256,0.2
